model_id,proj_5,proj_25,proj_50,proj_75,proj_95,proj_date
192493,1.000000,1.000000,1.000000,1.000000,1.000000,2020-11-02
192493,2.739000,2.637000,2.568000,2.500000,2.406000,2030-11-02
192493,1.202000,1.183000,1.170000,1.158000,1.140000,2022-07-02
192493,1.532000,1.495000,1.470000,1.445000,1.410000,2024-12-02
192493,2.567000,2.474000,2.411000,2.350000,2.265000,2030-03-02
192493,1.034000,1.028000,1.024000,1.020000,1.013000,2021-02-02
192493,1.678000,1.633000,1.602000,1.573000,1.531000,2025-11-02
192493,2.128000,2.059000,2.012000,1.967000,1.903000,2028-04-02
192493,1.112000,1.099000,1.090000,1.082000,1.069000,2021-10-02
192493,1.457000,1.424000,1.402000,1.380000,1.349000,2024-06-02
192493,2.235000,2.160000,2.110000,2.060000,1.991000,2028-10-02
192493,2.181000,2.109000,2.060000,2.013000,1.947000,2028-07-02
192493,1.352000,1.325000,1.306000,1.288000,1.262000,2023-09-02
192493,2.290000,2.212000,2.160000,2.109000,2.037000,2029-01-02
192493,1.083000,1.072000,1.065000,1.058000,1.047000,2021-07-02
192493,1.386000,1.357000,1.337000,1.318000,1.290000,2023-12-02
192493,1.171000,1.154000,1.143000,1.132000,1.115000,2022-04-02
192493,1.044000,1.037000,1.032000,1.027000,1.020000,2021-03-02
192493,2.588000,2.494000,2.430000,2.368000,2.282000,2030-04-02
192493,1.264000,1.242000,1.227000,1.212000,1.190000,2023-01-02
192493,1.422000,1.390000,1.369000,1.348000,1.319000,2024-03-02
192493,2.445000,2.358000,2.300000,2.243000,2.164000,2029-09-02
192493,1.297000,1.272000,1.256000,1.240000,1.217000,2023-04-02
192493,1.131000,1.117000,1.108000,1.098000,1.084000,2021-12-02
192493,2.386000,2.302000,2.246000,2.192000,2.115000,2029-06-02
192493,2.505000,2.415000,2.355000,2.296000,2.214000,2029-12-02
192493,1.073000,1.063000,1.057000,1.050000,1.040000,2021-06-02
192493,1.181000,1.164000,1.152000,1.140000,1.123000,2022-05-02
192493,1.777000,1.727000,1.693000,1.660000,1.613000,2026-06-02
192493,1.945000,1.886000,1.846000,1.807000,1.752000,2027-05-02
192493,2.525000,2.435000,2.373000,2.314000,2.231000,2030-01-02
192493,1.596000,1.556000,1.529000,1.502000,1.463000,2025-05-02
192493,2.695000,2.595000,2.527000,2.462000,2.370000,2030-09-02
192493,1.482000,1.448000,1.424000,1.401000,1.369000,2024-08-02
192493,1.836000,1.783000,1.747000,1.712000,1.662000,2026-10-02
192493,2.093000,2.026000,1.981000,1.937000,1.875000,2028-02-02
192493,1.102000,1.090000,1.082000,1.073000,1.062000,2021-09-02
192493,2.043000,1.978000,1.935000,1.892000,1.833000,2027-11-02
192493,2.328000,2.248000,2.194000,2.142000,2.068000,2029-03-02
192493,1.557000,1.519000,1.493000,1.467000,1.431000,2025-02-02
192493,1.330000,1.304000,1.286000,1.268000,1.244000,2023-07-02
192493,1.363000,1.336000,1.317000,1.298000,1.271000,2023-10-02
192493,1.993000,1.932000,1.890000,1.849000,1.792000,2027-08-02
192493,1.151000,1.136000,1.125000,1.115000,1.100000,2022-02-02
192493,1.519000,1.483000,1.458000,1.434000,1.400000,2024-11-02
192493,1.792000,1.741000,1.706000,1.672000,1.625000,2026-07-02
192493,1.734000,1.686000,1.654000,1.622000,1.577000,2026-03-02
192493,1.024000,1.019000,1.016000,1.012000,1.007000,2021-01-02
192493,1.664000,1.620000,1.590000,1.560000,1.519000,2025-10-02
192493,2.546000,2.454000,2.392000,2.332000,2.248000,2030-02-02
192493,1.583000,1.544000,1.517000,1.490000,1.453000,2025-04-02
192493,2.145000,2.076000,2.028000,1.982000,1.918000,2028-05-02
192493,1.445000,1.413000,1.391000,1.369000,1.339000,2024-05-02
192493,1.410000,1.379000,1.359000,1.338000,1.309000,2024-02-02
192493,2.199000,2.126000,2.077000,2.029000,1.961000,2028-08-02
192493,1.275000,1.252000,1.236000,1.221000,1.199000,2023-02-02
192493,1.545000,1.507000,1.481000,1.456000,1.421000,2025-01-02
192493,1.093000,1.081000,1.073000,1.065000,1.054000,2021-08-02
192493,2.060000,1.994000,1.950000,1.907000,1.847000,2027-12-02
192493,1.161000,1.145000,1.134000,1.123000,1.107000,2022-03-02
192493,2.010000,1.947000,1.905000,1.863000,1.805000,2027-09-02
192493,1.748000,1.699000,1.667000,1.634000,1.589000,2026-04-02
192493,2.253000,2.177000,2.126000,2.076000,2.006000,2028-11-02
192493,1.623000,1.581000,1.553000,1.525000,1.485000,2025-07-02
192493,1.913000,1.856000,1.817000,1.779000,1.726000,2027-03-02
192493,2.652000,2.554000,2.488000,2.424000,2.334000,2030-07-02
192493,2.425000,2.340000,2.282000,2.226000,2.148000,2029-08-02
192493,1.867000,1.812000,1.775000,1.738000,1.687000,2026-12-02
192493,1.308000,1.283000,1.266000,1.249000,1.225000,2023-05-02
192493,2.366000,2.284000,2.229000,2.175000,2.100000,2029-05-02
192493,1.243000,1.222000,1.208000,1.193000,1.173000,2022-11-02
192493,1.961000,1.901000,1.860000,1.821000,1.765000,2027-06-02
192493,2.485000,2.396000,2.336000,2.278000,2.197000,2029-11-02
192493,2.717000,2.616000,2.547000,2.481000,2.388000,2030-10-02
192493,1.821000,1.769000,1.733000,1.698000,1.650000,2026-09-02
192493,1.014000,1.010000,1.008000,1.005000,1.002000,2020-12-02
192493,1.705000,1.659000,1.628000,1.597000,1.554000,2026-01-02
192493,1.212000,1.193000,1.179000,1.166000,1.148000,2022-08-02
192494,1.762000,1.713000,1.680000,1.647000,1.601000,2026-05-02
192494,1.610000,1.569000,1.541000,1.513000,1.474000,2025-06-02
192494,1.929000,1.871000,1.831000,1.793000,1.739000,2027-04-02
192494,1.691000,1.646000,1.615000,1.585000,1.542000,2025-12-02
192494,1.470000,1.436000,1.413000,1.390000,1.359000,2024-07-02
192494,2.111000,2.043000,1.997000,1.952000,1.889000,2028-03-02
192494,2.673000,2.574000,2.508000,2.443000,2.352000,2030-08-02
192494,1.851000,1.797000,1.761000,1.725000,1.675000,2026-11-02
192494,2.309000,2.230000,2.177000,2.125000,2.052000,2029-02-02
192494,1.341000,1.314000,1.296000,1.278000,1.253000,2023-08-02
192494,2.026000,1.963000,1.920000,1.878000,1.819000,2027-10-02
192494,1.375000,1.346000,1.327000,1.308000,1.281000,2023-11-02
192494,1.570000,1.531000,1.505000,1.479000,1.442000,2025-03-02
192494,1.977000,1.916000,1.875000,1.835000,1.778000,2027-07-02
192494,1.141000,1.126000,1.116000,1.106000,1.092000,2022-01-02
192494,1.719000,1.672000,1.641000,1.609000,1.565000,2026-02-02
192494,1.806000,1.755000,1.720000,1.685000,1.637000,2026-08-02
192494,1.507000,1.471000,1.447000,1.423000,1.389000,2024-10-02
192494,1.222000,1.202000,1.189000,1.175000,1.156000,2022-09-02
192494,1.650000,1.607000,1.577000,1.548000,1.508000,2025-09-02
192494,2.609000,2.514000,2.449000,2.387000,2.299000,2030-05-02
192494,1.054000,1.046000,1.040000,1.034000,1.026000,2021-04-02
192494,1.882000,1.826000,1.789000,1.752000,1.700000,2027-01-02
192494,1.254000,1.232000,1.217000,1.202000,1.182000,2022-12-02
192494,1.433000,1.402000,1.380000,1.359000,1.329000,2024-04-02
192494,2.163000,2.092000,2.044000,1.998000,1.932000,2028-06-02
192494,1.398000,1.368000,1.348000,1.328000,1.300000,2024-01-02
192494,2.217000,2.143000,2.093000,2.044000,1.976000,2028-09-02
192494,1.122000,1.108000,1.099000,1.090000,1.077000,2021-11-02
192494,2.405000,2.321000,2.264000,2.209000,2.132000,2029-07-02
192494,1.286000,1.262000,1.246000,1.230000,1.208000,2023-03-02
192494,1.064000,1.055000,1.048000,1.042000,1.033000,2021-05-02
192494,1.191000,1.173000,1.161000,1.149000,1.131000,2022-06-02
